variant,profile,run_id,is_warmup,samples_total,samples_success,samples_failed,duration_s,throughput_rps,http_mean_ms,http_median_ms,http_p95_ms,http_p99_ms,app_n,app_mean_ms,app_median_ms,app_p95_ms,app_p99_ms,submitted_n,classified_n,failed_n,swept_n,pairing_loss_pct
x-sync,baseline,baseline_m1,False,201,201,0,431.823,0.4654684905621053,2145.4228855721394,259.0,10045.0,10129.0,173,898.0,215.0,5259.600000000001,8208.56,200,173,27,0,0.0
x-sync,baseline,baseline_m2,False,201,201,0,218.608,0.9194539998536192,1084.5174129353234,221.0,6120.0,9853.0,199,1022.1155778894472,195.0,5822.499999999998,8919.64000000001,200,199,1,0,0.0
x-sync,baseline,baseline_m3,False,201,201,0,104.716,1.9194774437526263,518.1044776119403,225.0,2466.0,5647.0,200,498.36,203.0,2444.1999999999975,5623.939999999997,200,200,0,0,0.0
x-sync,baseline,baseline_m4,False,201,201,0,47.792,4.205724807499163,235.0497512437811,210.0,328.0,584.0,199,212.25125628140702,184.0,305.5,563.8000000000014,200,199,1,0,0.0
x-sync,baseline,baseline_m5,False,201,201,0,337.971,0.5947255829642188,1727.7462686567164,216.0,10037.0,10057.0,182,889.3626373626373,184.5,5477.849999999997,8004.68,200,182,18,0,0.0
x-sync,baseline,baseline_warmup,True,201,201,0,49.91,4.027249048286917,245.29353233830847,214.0,316.0,522.0,200,220.985,186.5,298.0,493.9499999999964,200,200,0,0,0.0
x-sync,high,high_m1,False,385,385,0,60.072,6.408975895591956,1541.374025974026,209.0,10028.4,10047.0,357,880.6694677871149,182.0,6285.599999999992,9314.359999999999,384,357,27,0,0.0
x-sync,high,high_m2,False,2234,2234,0,60.343,37.021692656977606,248.24171888988363,201.0,515.0,715.4100000000017,2233,234.65875503806538,188.0,498.0,695.079999999999,2233,2233,0,0,0.0
x-sync,high,high_m3,False,2403,2403,0,60.382,39.796628134212185,230.66125676238036,192.0,304.0,724.0200000000009,2401,217.51811745106207,176.0,288.0,708.0,2402,2401,1,0,0.0
x-sync,high,high_m4,False,615,615,0,60.352,10.190217391304348,1002.5642276422765,196.0,10025.3,10042.86,571,307.507880910683,176.0,302.5,3837.999999999999,614,571,43,0,0.0
x-sync,high,high_m5,False,462,462,0,60.389,7.65039990726788,1227.5757575757575,209.0,9988.149999999996,10036.78,437,728.4347826086956,188.0,3230.199999999997,8805.76,461,437,24,0,0.0
x-sync,high,high_warmup,True,309,309,0,60.183,5.134340262200289,1927.3656957928802,213.0,10033.6,10047.92,277,1003.3971119133574,186.0,5615.2,7942.840000000006,308,277,31,0,0.0
x-sync,moderate,moderate_m1,False,473,473,0,60.25,7.850622406639004,1205.566596194503,230.0,10031.4,10058.119999999999,428,278.8200934579439,199.0,336.8499999999998,932.8400000000001,472,428,44,0,0.0
x-sync,moderate,moderate_m2,False,1138,1138,0,60.348,18.85729435938225,413.6493848857645,226.0,549.2999999999997,10024.63,1124,285.5462633451957,207.0,406.24999999999955,1453.6399999999994,1137,1124,13,0,0.0
x-sync,moderate,moderate_m3,False,572,572,0,60.184,9.504187159377908,966.9702797202797,242.0,9592.399999999994,10047.29,545,514.1871559633028,216.0,1055.7999999999977,8493.479999999981,571,545,26,0,0.0
x-sync,moderate,moderate_m4,False,350,350,0,60.08,5.8255659121171774,1622.9114285714286,248.0,10027.0,10046.57,317,755.3753943217665,215.0,4860.799999999999,7223.559999999998,349,317,32,0,0.0
x-sync,moderate,moderate_m5,False,340,340,0,59.454,5.718706899451677,1710.2617647058823,222.5,10037.05,10056.22,307,822.0879478827361,193.0,4942.8,7378.94,339,307,32,0,0.0
x-sync,moderate,moderate_warmup,True,192,192,0,60.406,3.178492202761315,3131.296875,260.0,10058.8,10103.24,144,868.0,215.0,4598.8499999999985,9549.169999999995,191,144,47,0,0.0
